index,bindingTitle,bindingId,publicationId,date,issue,generalType,publisher,pageNumber,textHighlights,terms,url,copyrights,references
43,Uusi Suometar,1199736,1457-4721,1917-12-14,292,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199736?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 14.12.1917, nro 292, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199736?page=1
Kansalliskirjaston digitaaliset aineistot"
246,Aamulehti,766433,0355-6913,1917-12-14,253,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766433?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 14.12.1917, nro 253, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766433?page=1
Kansalliskirjaston digitaaliset aineistot"
145,Helsingin Sanomat,1175154,0355-2047,1917-12-15,293,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175154?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 15.12.1917, nro 293, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175154?page=1
Kansalliskirjaston digitaaliset aineistot"
42,Uusi Suometar,1199737,1457-4721,1917-12-15,293,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199737?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 15.12.1917, nro 293, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199737?page=1
Kansalliskirjaston digitaaliset aineistot"
245,Aamulehti,766434,0355-6913,1917-12-15,254,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766434?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 15.12.1917, nro 254, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766434?page=1
Kansalliskirjaston digitaaliset aineistot"
33,Uusi Suometar,1199746,1457-4721,1917-12-16,294 B,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199746?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 16.12.1917, nro 294 B, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199746?page=1
Kansalliskirjaston digitaaliset aineistot"
34,Uusi Suometar,1199745,1457-4721,1917-12-16,294 A,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199745?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 16.12.1917, nro 294 A, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199745?page=1
Kansalliskirjaston digitaaliset aineistot"
244,Aamulehti,766435,0355-6913,1917-12-16,255,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766435?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 16.12.1917, nro 255, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766435?page=1
Kansalliskirjaston digitaaliset aineistot"
144,Helsingin Sanomat,1175155,0355-2047,1917-12-16,294 A,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175155?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 16.12.1917, nro 294 A, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175155?page=1
Kansalliskirjaston digitaaliset aineistot"
143,Helsingin Sanomat,1175156,0355-2047,1917-12-16,294 B,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175156?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 16.12.1917, nro 294 B, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175156?page=1
Kansalliskirjaston digitaaliset aineistot"
32,Uusi Suometar,1199747,1457-4721,1917-12-17,295,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199747?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 17.12.1917, nro 295, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199747?page=1
Kansalliskirjaston digitaaliset aineistot"
142,Helsingin Sanomat,1175157,0355-2047,1917-12-17,295,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175157?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 17.12.1917, nro 295, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175157?page=1
Kansalliskirjaston digitaaliset aineistot"
243,Aamulehti,766436,0355-6913,1917-12-18,256,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766436?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 18.12.1917, nro 256, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766436?page=1
Kansalliskirjaston digitaaliset aineistot"
141,Helsingin Sanomat,1175158,0355-2047,1917-12-18,296,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175158?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 18.12.1917, nro 296, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175158?page=1
Kansalliskirjaston digitaaliset aineistot"
